key,value
highway,construction
junction,roundabout
highway,path
highway,track
highway,path
highway,track
highway,passing_place
highway,path
highway,footway
service,alley
service,driveway
service,parking_aisle
highway,path
highway,footway
highway,cycleway
highway,bridleway
highway,bus_stop
public_transport,stop_position
public_transport,platform
highway,crossing
highway,elevator
highway,emergency_bay
highway,emergency_access_point
highway,give_way
emergency,phone
highway,milestone
highway,mini_roundabout
junction,roundabout
direction,anticlockwise
direction,clockwise
highway,motorway_junction
highway,passing_place
highway,platform
highway,rest_area
highway,services
highway,speed_camera
highway,stop
highway,street_lamp
highway,toll_gantry
barrier,toll_booth
highway,traffic_mirror
highway,traffic_signals
highway,trailhead
highway,turning_circle
highway,turning_loop
historic,aircraft
historic,anchor
historic,aqueduct
historic,archaeological_site
historic,battlefield
historic,bomb_crater
historic,boundary_stone
historic,building
historic,cannon
historic,castle
historic,castle_wall
historic,cattle_crush
historic,charcoal_pile
historic,church
historic,city_gate
historic,citywalls
historic,creamery
historic,district
historic,farm
historic,fort
historic,gallows
historic,highwater_mark
historic,locomotive
historic,manor
historic,memorial
historic,milestone
historic,monastery
historic,monument
historic,ogham_stone
historic,optical_telegraph
historic,pa
historic,pillory
historic,railway_car
historic,road
historic,ruins
historic,rune_stone
historic,shieling
historic,ship
historic,stone
historic,tank
historic,tomb
historic,tower
historic,vehicle
historic,wayside_cross
historic,wayside_shrine
historic,wreck
historic,yes
landuse,commercial
landuse,retail
landuse,construction
landuse,education
landuse,industrial
landuse,residential
landuse,retail
landuse,commercial
landuse,institutional
office,government
office,ngo
office,association
amenity,social_facility
landuse,allotments
landuse,farmland
landuse,farmyard
landuse,flowerbed
landuse,forest
landuse,meadow
landuse,orchard
landuse,vineyard
landuse,aquaculture
natural,water
landuse,basin
landuse,reservoir
natural,water
water,reservoir
landuse,salt_pond
landuse,brownfield
landuse,cemetery
amenity,place_of_worship
amenity,grave_yard
landuse,conservation
boundary,protected_area
landuse,depot
landuse,railway
landuse,commercial
landuse,industrial
industrial,depot
landuse,garages
landuse,grass
landuse,grass
landuse,greenfield
landuse,greenhouse_horticulture
landuse,landfill
landuse,military
landuse,plant_nursery
landuse,port
landuse,industrial
industrial,port
landuse,quarry
landuse,railway
landuse,recreation_ground
landuse,religious
landuse,village_green
landuse,winter_sports
leisure,adult_gaming_centre
leisure,amusement_arcade
leisure,beach_resort
leisure,bandstand
leisure,bird_hide
leisure,common
leisure,dance
leisure,disc_golf_course
leisure,dog_park
leisure,escape_game
leisure,firepit
leisure,fishing
leisure,fitness_centre
leisure,fitness_station
leisure,garden
leisure,hackerspace
leisure,horse_riding
leisure,ice_rink
leisure,marina
leisure,miniature_golf
leisure,nature_reserve
leisure,park
leisure,picnic_table
leisure,pitch
leisure,playground
leisure,slipway
leisure,sports_centre
leisure,stadium
leisure,summer_camp
leisure,swimming_area
leisure,swimming_pool
leisure,track
leisure,water_park
man_made,adit
man_made,beacon
man_made,breakwater
man_made,bridge
man_made,bunker_silo
man_made,carpet_hanger
man_made,chimney
man_made,column
man_made,communications_tower
man_made,crane
man_made,cross
man_made,cutline
man_made,clearcut
man_made,dovecote
man_made,dyke
man_made,embankment
man_made,flagpole
man_made,gasometer
man_made,goods_conveyor
man_made,groyne
man_made,guard_stone
man_made,kiln
man_made,lighthouse
man_made,mast
man_made,mineshaft
man_made,monitoring_station
man_made,obelisk
man_made,observatory
man_made,offshore_platform
man_made,petroleum_well
man_made,pier
man_made,pipeline
man_made,pump
man_made,pumping_station
man_made,reservoir_covered
man_made,silo
man_made,snow_fence
man_made,snow_net
man_made,storage_tank
man_made,street_cabinet
man_made,stupa
man_made,surveillance
man_made,survey_point
man_made,tailings_pond
man_made,telescope
man_made,tower
man_made,video_wall
man_made,wastewater_plant
man_made,watermill
man_made,water_tower
man_made,water_well
man_made,water_tap
man_made,water_works
man_made,wildlife_crossing
man_made,windmill
man_made,works
man_made,yes
military,airfield
military,base
military,bunker
military,barracks
military,checkpoint
military,danger_area
military,nuclear_explosion_site
military,obstacle_course
military,office
military,range
military,training_area
military,trench
natural,fell
natural,grassland
natural,heath
natural,moor
natural,scrub
natural,shrubbery
natural,tree
natural,tree_row
natural,tundra
natural,wood
natural,bay
natural,beach
natural,blowhole
natural,cape
natural,coastline
natural,crevasse
natural,geyser
natural,glacier
natural,hot_spring
natural,isthmus
natural,mud
natural,peninsula
natural,reef
natural,shingle
natural,shoal
natural,spring
natural,strait
natural,water
natural,wetland
natural,arch
natural,arete
natural,bare_rock
natural,cave_entrance
natural,cliff
natural,dune
natural,earth_bank
natural,fumarole
natural,hill
natural,peak
natural,ridge
natural,rock
natural,saddle
natural,sand
natural,scree
natural,sinkhole
natural,stone
natural,valley
natural,volcano
office,accountant
office,administrative
office,advertising_agency
office,architect
office,association
office,chamber
office,charity
office,company
office,construction_company
office,consulting
office,courier
office,coworking
office,diplomatic
office,educational_institution
office,employment_agency
office,energy_supplier
office,engineer
office,estate_agent
office,financial
office,financial_advisor
office,forestry
office,foundation
office,geodesist
office,government
office,graphic_design
office,guide
office,harbour_master
office,insurance
office,it
office,lawyer
office,logistics
office,moving_company
office,newspaper
office,ngo
office,notary
office,politician
office,political_party
office,property_management
office,quango
office,religion
office,research
office,security
office,surveyor
office,tax_advisor
office,telecommunication
office,therapist
office,travel_agent
office,tutoring
office,union
office,visa
office,water_utility
office,yes
place,country
place,state
place,region
place,province
place,district
place,county
place,municipality
place,city
place,borough
place,suburb
place,quarter
place,neighbourhood
place,city_block
place,plot
place,town
place,village
place,hamlet
place,isolated_dwelling
place,farm
place,allotments
place,continent
place,archipelago
place,island
place,islet
place,square
place,locality
place,sea
place,ocean
power,cable
power,catenary_mast
power,compensator
power,connection
power,converter
power,generator
power,heliostat
power,insulator
power,line
line,busbar
line,bay
power,minor_line
power,plant
power,pole
power,portal
power,substation
power,switch
power,switchgear
power,terminal
power,tower
power,transformer
public_transport,stop_position
public_transport,platform
public_transport,station
public_transport,stop_area
railway,abandoned
railway,razed
railway,disused
railway,funicular
railway,light_rail
railway,miniature
railway,monorail
railway,narrow_gauge
railway,preserved
railway,rail
railway,subway
railway,tram
service,crossover
service,siding
service,spur
service,yard
railway,halt
public_transport,stop_position
public_transport,stop_area
public_transport,platform
railway,platform
public_transport,platform
public_transport,station
railway,station
public_transport,station
railway,subway_entrance
railway,tram_stop
railway,buffer_stop
railway,derail
railway,crossing
railway,level_crossing
railway,tram_level_crossing
landuse,railway
railway,signal
railway,switch
railway,railway_crossing
railway,turntable
railway,roundhouse
railway,traverser
railway,wash
railway,water_crane
route,bicycle
route,bus
route,canoe
route,detour
route,ferry
route,foot
route,hiking
route,horse
route,inline_skates
route,light_rail
route,mtb
route,piste
route,railway
route,road
route,running
route,ski
route,subway
route,train
route,tracks
route,tram
route,trolleybus
shop,alcohol
shop,bakery
shop,beverages
shop,alcohol
shop,brewing_supplies
shop,butcher
shop,cheese
shop,chocolate
shop,coffee
shop,confectionery
shop,convenience
shop,deli
shop,dairy
shop,farm
shop,frozen_food
shop,greengrocer
shop,health_food
shop,ice_cream
amenity,ice_cream
shop,organic
shop,supermarket
shop,convenience
shop,pasta
shop,pastry
shop,seafood
shop,spices
shop,tea
shop,wine
shop,water
shop,department_store
shop,mall
shop,general
shop,convenience
shop,kiosk
shop,mall
shop,supermarket
shop,wholesale
shop,baby_goods
shop,bag
shop,boutique
shop,clothes
shop,fabric
shop,fashion
shop,clothes
shop,jewelry
shop,leather
shop,sewing
shop,shoes
shop,tailor
shop,watches
shop,wool
shop,charity
shop,second_hand
shop,pawnbroker
shop,variety_store
shop,beauty
shop,hairdresser
shop,chemist
amenity,pharmacy
shop,cosmetics
shop,chemist
amenity,pharmacy
shop,erotic
shop,hairdresser
shop,beauty
shop,hairdresser_supply
shop,hearing_aids
shop,herbalist
healthcare,alternative
shop,massage
shop,medical_supply
shop,nutrition_supplements
shop,optician
shop,perfumery
shop,tattoo
shop,agrarian
shop,appliance
shop,bathroom_furnishing
shop,doityourself
shop,electrical
shop,energy
shop,fireplace
shop,florist
shop,garden_centre
shop,garden_centre
shop,florist
shop,garden_furniture
shop,garden_centre
shop,gas
shop,glaziery
shop,groundskeeping
shop,hardware
shop,doityourself
shop,houseware
shop,locksmith
craft,locksmith
craft,key_cutter
shop,paint
shop,security
shop,trade
shop,doityourself
shop,windows
craft,window_construction
shop,antiques
shop,bed
shop,candles
shop,carpet
shop,curtain
shop,fabric
shop,doors
shop,flooring
shop,furniture
shop,household_linen
shop,interior_decoration
shop,kitchen
shop,lamps
shop,lighting
shop,lighting
shop,tiles
shop,window_blind
shop,computer
shop,electronics
shop,hifi
shop,mobile_phone
shop,radiotechnics
shop,vacuum_cleaner
shop,atv
shop,bicycle
shop,boat
shop,car
shop,car_repair
shop,car_parts
shop,caravan
shop,fuel
amenity,fuel
shop,fishing
shop,golf
shop,hunting
shop,jetski
shop,military_surplus
shop,motorcycle
shop,outdoor
shop,scuba_diving
shop,ski
shop,snowmobile
shop,sports
shop,swimming_pool
shop,trailer
shop,tyres
shop,art
shop,camera
shop,collector
shop,craft
shop,frame
shop,games
shop,model
shop,music
shop,musical_instrument
shop,photo
shop,trophy
shop,video
shop,video_games
shop,anime
shop,books
amenity,library
shop,gift
shop,lottery
shop,newsagent
shop,stationery
shop,ticket
shop,bookmaker
shop,cannabis
shop,copyshop
shop,dry_cleaning
shop,e-cigarette
shop,funeral_directors
shop,insurance
shop,laundry
shop,money_lender
shop,outpost
shop,party
shop,pawnbroker
shop,second_hand
shop,pest_control
shop,pet
shop,pet_grooming
shop,pyrotechnics
shop,religion
shop,storage_rental
shop,tobacco
shop,toys
shop,travel_agency
shop,weapons
shop,vacant
shop,yes
sport,9pin
sport,10pin
sport,aerobics
sport,american_football
sport,aikido
sport,archery
sport,athletics
sport,australian_football
sport,badminton
sport,bandy
sport,baseball
sport,basketball
sport,beachvolleyball
sport,biathlon
sport,billiards
sport,bmx
sport,bobsleigh
sport,boules
sport,bowls
sport,boxing
sport,bullfighting
sport,canadian_football
sport,canoe
sport,chess
sport,cliff_diving
sport,climbing
sport,climbing_adventure
sport,cockfighting
sport,cricket
sport,crossfit
sport,croquet
sport,curling
sport,cycle_polo
sport,cycling
sport,darts
sport,dog_agility
sport,dog_racing
sport,dragon_boat
sport,equestrian
sport,fencing
sport,field_hockey
sport,fitness
sport,five-a-side
sport,floorball
sport,four_square
sport,free_flying
sport,futsal
sport,gaelic_games
sport,gaga
sport,golf
sport,gymnastics
sport,handball
sport,hapkido
sport,horseshoes
sport,horse_racing
sport,ice_hockey
sport,ice_skating
sport,ice_stock
sport,judo
sport,karate
sport,karting
sport,kickboxing
sport,kitesurfing
sport,korfball
sport,krachtbal
sport,lacrosse
sport,martial_arts
sport,miniature_golf
sport,model_aerodrome
sport,motocross
sport,motor
sport,multi
sport,netball
sport,obstacle_course
sport,orienteering
sport,paddle_tennis
sport,padel
sport,parachuting
sport,parkour
sport,pelota
sport,pes%C3%A4pallo
sport,pickleball
sport,pilates
sport,pole_dance
sport,racquet
sport,rc_car
sport,roller_skating
sport,rowing
sport,rugby_league
sport,rugby_union
sport,running
sport,sailing
sport,scuba_diving
sport,shooting
sport,shot-put
sport,skateboard
sport,ski_jumping
sport,skiing
sport,snooker
sport,soccer
sport,speedway
sport,squash
sport,sumo
sport,surfing
sport,swimming
sport,table_tennis
sport,table_soccer
sport,taekwondo
sport,tennis
sport,toboggan
sport,trugo
sport,ultimate
sport,volleyball
sport,wakeboarding
sport,water_polo
sport,water_ski
sport,weightlifting
sport,windsurfing
sport,wrestling
sport,yoga
sport,zurkhaneh_sport
telecom,exchange
telecom,connection_point
telecom,distribution_point
telecom,service_device
telecom,data_center
tourism,alpine_hut
tourism,apartment
tourism,aquarium
tourism,artwork
tourism,attraction
tourism,camp_pitch
tourism,camp_site
tourism,caravan_site
tourism,chalet
tourism,gallery
tourism,guest_house
tourism,hostel
tourism,hotel
tourism,information
tourism,motel
tourism,museum
tourism,picnic_site
tourism,theme_park
tourism,viewpoint
tourism,wilderness_hut
tourism,zoo
tourism,yes
natural,water
water,river
water,oxbow
water,canal
water,ditch
water,lock
water,fish_pass
water,lake
water,reservoir
water,pond
water,basin
water,lagoon
water,stream_pool
water,reflecting_pool
water,moat
water,wastewater
waterway,river
waterway,riverbank
waterway,stream
waterway,tidal_channel
waterway,canal
waterway,drain
waterway,ditch
waterway,pressurised
waterway,fairway
waterway,dock
waterway,boatyard
waterway,dam
waterway,weir
waterway,waterfall
waterway,lock_gate
waterway,soakhole
waterway,turning_point
waterway,water_point
waterway,fuel
place,square
boundary,postal_code
boundary,administrative
place,hamlet
source,extrapolation
source,historical
source,image
source,knowledge
source,survey
source,voice
highway,crossing
railway,crossing
landuse,forest
natural,wood
access,designated
access,no
access,private
bicycle,dismount
bicycle,no
bicycle,dismount
bicycle,dismount
bicycle,no
oneway,yes
oneway,no
oneway,-1
highway,motorway
barrier,toll_booth
traffic_sign,city_limit
